run_id,run_label,scenario,cluster,round,writer_instance,reader_instance,client_instance,tps,tps_config,writeMaxMs,readMaxMs,result_dir
T2,v16-T2-r7g8xl-tps2560,reboot,test-v11-5,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,2560,v16-tps2560,0,0,e2e-results/v16-T2-r7g8xl-tps2560-reboot-test-v11-5-r1_20260522_055958
T3,v16-T3-r7g8xl-tps4000,blue-green,test-v11-1,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,3400,3300,e2e-results/v16-T3-r7g8xl-tps4000-blue-green-test-v11-1-r1_20260522_082351
T3,v16-T3-r7g8xl-tps4000,blue-green,test-v11-2,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,3400,3400,e2e-results/v16-T3-r7g8xl-tps4000-blue-green-test-v11-2-r1_20260522_082251
T3,v16-T3-r7g8xl-tps4000,blue-green,test-v11-4,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,3200,3200,e2e-results/v16-T3-r7g8xl-tps4000-blue-green-test-v11-4-r1_20260522_082151
T3,v16-T3-r7g8xl-tps4000,failover,test-v11-1,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,7900,7900,e2e-results/v16-T3-r7g8xl-tps4000-failover-test-v11-1-r1_20260522_082658
T3,v16-T3-r7g8xl-tps4000,failover,test-v11-2,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,8400,8400,e2e-results/v16-T3-r7g8xl-tps4000-failover-test-v11-2-r1_20260522_082558
T3,v16-T3-r7g8xl-tps4000,failover,test-v11-3,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,12600,12600,e2e-results/v16-T3-r7g8xl-tps4000-failover-test-v11-3-r1_20260522_082151
T3,v16-T3-r7g8xl-tps4000,failover,test-v11-4,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,16700,16700,e2e-results/v16-T3-r7g8xl-tps4000-failover-test-v11-4-r1_20260522_082458
T3,v16-T3-r7g8xl-tps4000,failover,test-v11-5,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,11001,11001,e2e-results/v16-T3-r7g8xl-tps4000-failover-test-v11-5-r1_20260522_082051
T3,v16-T3-r7g8xl-tps4000,reboot,test-v11-1,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,0,0,e2e-results/v16-T3-r7g8xl-tps4000-reboot-test-v11-1-r1_20260522_083705
T3,v16-T3-r7g8xl-tps4000,reboot,test-v11-2,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,0,0,e2e-results/v16-T3-r7g8xl-tps4000-reboot-test-v11-2-r1_20260522_083604
T3,v16-T3-r7g8xl-tps4000,reboot,test-v11-3,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,0,0,e2e-results/v16-T3-r7g8xl-tps4000-reboot-test-v11-3-r1_20260522_083158
T3,v16-T3-r7g8xl-tps4000,reboot,test-v11-4,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,0,0,e2e-results/v16-T3-r7g8xl-tps4000-reboot-test-v11-4-r1_20260522_083504
T3,v16-T3-r7g8xl-tps4000,reboot,test-v11-5,1,r7g.8xlarge,r7g.2xlarge,c6i.8xlarge,4000,v16-tps4000,0,0,e2e-results/v16-T3-r7g8xl-tps4000-reboot-test-v11-5-r1_20260522_083058
